,date,value
0,01-01-1996,854764
1,01-01-1997,952089
2,01-01-1998,1002351
3,01-01-1999,1087710
4,01-01-2000,1199092
5,01-01-2001,1315755
6,01-01-2002,1488787
7,01-01-2003,1717950
8,01-01-2004,1957751
9,01-01-2005,2170585
10,01-01-2006,2409450
11,01-01-2007,2720263
12,01-01-2008,3109803
13,01-01-2009,3333039
14,01-01-2010,3885847
15,01-01-2011,4376382
16,01-01-2012,4814760
17,01-01-2013,5331619
18,01-01-2014,5778953
19,01-01-2015,5995787
20,01-01-2016,6269328
21,01-01-2017,6585479
22,01-01-2018,7004141
23,01-01-2019,7389131
24,01-01-2020,7609597
