,date,value
0,01-01-1996,5219.36
1,01-01-1997,5729.02
2,01-01-1998,5944.92
3,01-01-1999,6359.80
4,01-01-2000,6900.62
5,01-01-2001,7467.03
6,01-01-2002,8340.58
7,01-01-2003,9506.76
8,01-01-2004,10705.99
9,01-01-2005,11733.45
10,01-01-2006,12880.52
11,01-01-2007,14390.01
12,01-01-2008,16280.82
13,01-01-2009,17271.34
14,01-01-2010,19938.60
15,01-01-2011,22259.91
16,01-01-2012,24278.35
17,01-01-2013,26657.54
18,01-01-2014,28648.74
19,01-01-2015,29466.85
20,01-01-2016,30558.75
21,01-01-2017,31843.95
22,01-01-2018,33593.82
23,01-01-2019,35161.70
24,01-01-2020,35935.69
