,date,value
0,01-01-2000,46.0
1,01-02-2000,46.5
2,01-03-2000,48.5
3,01-04-2000,48.5
4,01-05-2000,50.5
5,01-06-2000,48.1
6,01-07-2000,49.8
7,01-08-2000,49.7
8,01-09-2000,48.4
9,01-10-2000,49.4
10,01-11-2000,50.3
11,01-12-2000,69.3
12,01-01-2001,46.9
13,01-02-2001,44.2
14,01-03-2001,49.7
15,01-04-2001,47.6
16,01-05-2001,49.4
17,01-06-2001,47.5
18,01-07-2001,47.8
19,01-08-2001,49.1
20,01-09-2001,47.1
21,01-10-2001,50.0
22,01-11-2001,49.1
23,01-12-2001,67.4
24,01-01-2002,46.4
25,01-02-2002,43.5
26,01-03-2002,49.9
27,01-04-2002,46.6
28,01-05-2002,50.0
29,01-06-2002,46.6
30,01-07-2002,48.6
31,01-08-2002,50.2
32,01-09-2002,46.4
33,01-10-2002,50.3
34,01-11-2002,49.1
35,01-12-2002,63.9
36,01-01-2003,44.3
37,01-02-2003,42.8
38,01-03-2003,44.2
39,01-04-2003,44.9
40,01-05-2003,46.9
41,01-06-2003,44.0
42,01-07-2003,46.5
43,01-08-2003,47.3
44,01-09-2003,45.1
45,01-10-2003,48.8
46,01-11-2003,49.0
47,01-12-2003,66.0
48,01-01-2004,47.0
49,01-02-2004,45.0
50,01-03-2004,49.1
51,01-04-2004,49.5
52,01-05-2004,51.9
53,01-06-2004,49.7
54,01-07-2004,52.1
55,01-08-2004,50.5
56,01-09-2004,49.2
57,01-10-2004,52.9
58,01-11-2004,52.0
59,01-12-2004,73.5
60,01-01-2005,49.9
61,01-02-2005,45.9
62,01-03-2005,52.9
63,01-04-2005,51.1
64,01-05-2005,53.3
65,01-06-2005,52.3
66,01-07-2005,54.4
67,01-08-2005,54.0
68,01-09-2005,51.9
69,01-10-2005,54.9
70,01-11-2005,54.6
71,01-12-2005,77.2
72,01-01-2006,53.2
73,01-02-2006,48.8
74,01-03-2006,54.4
75,01-04-2006,54.9
76,01-05-2006,57.3
77,01-06-2006,54.3
78,01-07-2006,55.6
79,01-08-2006,57.4
80,01-09-2006,57.1
81,01-10-2006,58.7
82,01-11-2006,59.5
83,01-12-2006,81.6
84,01-01-2007,57.7
85,01-02-2007,53.2
86,01-03-2007,60.7
87,01-04-2007,59.2
88,01-05-2007,63.3
89,01-06-2007,60.6
90,01-07-2007,60.8
91,01-08-2007,63.3
92,01-09-2007,61.8
93,01-10-2007,64.3
94,01-11-2007,65.7
95,01-12-2007,89.3
96,01-01-2008,64.5
97,01-02-2008,60.0
98,01-03-2008,67.5
99,01-04-2008,64.3
100,01-05-2008,70.3
101,01-06-2008,65.5
102,01-07-2008,67.7
103,01-08-2008,69.6
104,01-09-2008,67.6
105,01-10-2008,70.7
106,01-11-2008,69.0
107,01-12-2008,92.7
